;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
60;Butan-2-ol;CCC(C)O;202.0;0.0;136.0;0.0;85.0;0.0;0.0;423.0
62;;C1CCCCCCC1;249.0;7.0;144.0;0.0;0.0;0.0;0.0;400.0
63;2-Ethoxyethanol;CCOCCO;91.0;0.0;71.0;0.0;221.0;0.0;0.0;383.0
64;2-Propoxyethanol;CCCOCCO;190.0;0.0;73.0;117.0;0.0;0.0;0.0;380.0
68;1,3-DIOXOLANE;C1COCO1;204.0;0.0;148.0;0.0;0.0;0.0;0.0;352.0
71;3-Methylbutan-1-ol;CC(C)CCO;235.0;15.0;52.0;0.0;0.0;0.0;0.0;302.0
75;2-propan-2-yloxypropane;CC(C)OC(C)C;88.0;0.0;97.0;0.0;101.0;0.0;0.0;286.0
81;pentan-2-ol;CCCC(C)O;126.0;13.0;39.0;0.0;84.0;0.0;0.0;262.0
85;2-Methylbutan-1-ol;CCC(C)CO;173.0;15.0;56.0;0.0;0.0;0.0;0.0;244.0
93;2,2-dimethylpropan-1-ol;CC(C)(C)CO;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
95;2-Methylpropane-1,3-diol;CC(CO)CO;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
101;2-Methoxy-2-methylbutane;CCC(C)(C)OC;136.0;4.0;21.0;0.0;0.0;0.0;19.0;180.0
112;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
116;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
117;hexan-2-ol;CCCCC(C)O;90.0;0.0;42.0;0.0;0.0;0.0;0.0;132.0
122;2-Methyloxolane;CC1CCCO1;27.0;0.0;45.0;0.0;44.0;0.0;0.0;116.0
126;2-Methylpropane;CC(C)C;80.0;21.0;0.0;0.0;0.0;0.0;0.0;101.0
128;Methoxymethane;COC;0.0;23.0;0.0;0.0;76.0;0.0;0.0;99.0
132;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
138;heptan-2-ol;CCCCCC(C)O;42.0;0.0;42.0;0.0;0.0;0.0;0.0;84.0
140;1-propoxypropane;CCCOCCC;0.0;0.0;0.0;0.0;79.0;0.0;0.0;79.0
147;2,3-Dimethylbutane;CC(C)C(C)C;0.0;0.0;0.0;0.0;63.0;0.0;0.0;63.0
149;2,2-Dimethylbutane;CCC(C)(C)C;0.0;0.0;0.0;0.0;62.0;0.0;0.0;62.0
156;Ethoxyethane;CCOCC;22.0;0.0;23.0;0.0;0.0;0.0;0.0;45.0
157;ETHANE;CC;44.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0
162;2-propan-2-yloxyethanol;CC(C)OCCO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
166;methane;C;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
178;BUTANE;CCCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
179;PROPANE;CCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
181;2-Methylpentane;CCCC(C)C;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
184;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0
187;Cycloheptane;C1CCCCCC1;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
188;Pentane;CCCCC;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
191;Methylcyclopentane;CC1CCCC1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
