;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
35;water__3,3,7,7-tetrakis(hydroxymethyl)-5-oxanonane;water;3,3,7,7-tetrakis(hydroxymethyl)-5-oxanonane;O;CCC(CO)(CO)COCC(CC)(CO)CO;214.0;0.0;0.0;0.0;0.0;0.0;0.0;214.0
52;1,4-dimethylbenzene__decane;1,4-dimethylbenzene;decane;Cc1ccc(C)cc1;CCCCCCCCCC;180.0;0.0;33.0;0.0;0.0;0.0;0.0;213.0
37;neopentyl alcohol__water;neopentyl alcohol;water;CC(C)(C)CO;O;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
36;1,9-nonanediol__water;1,9-nonanediol;water;OCCCCCCCCCO;O;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
114;1-butanol__2,2,4-trimethylpentane;1-butanol;2,2,4-trimethylpentane;CCCCO;CC(C)CC(C)(C)C;93.0;0.0;80.0;0.0;38.0;0.0;0.0;211.0
112;1,2-hexanediol__water;1,2-hexanediol;water;CCCCC(O)CO;O;96.0;0.0;0.0;0.0;0.0;53.0;60.0;209.0
49;2-butoxyethanol__water;2-butoxyethanol;water;CCCCOCCO;O;191.0;0.0;18.0;0.0;0.0;0.0;0.0;209.0
39;2-methyl-1,3-propanediol__water;2-methyl-1,3-propanediol;water;CC(CO)CO;O;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
51;decane__methyl tert-butyl ether;decane;methyl tert-butyl ether;CCCCCCCCCC;COC(C)(C)C;181.0;0.0;0.0;0.0;20.0;0.0;0.0;201.0
40;2-propanol__dibutyl ether;2-propanol;dibutyl ether;CC(C)O;CCCCOCCCC;200.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0
57;1-propanol__water;1-propanol;water;CCCO;O;172.0;0.0;27.0;0.0;0.0;0.0;0.0;199.0
42;3,6-dioxaoctane__water;3,6-dioxaoctane;water;CCOCCOCC;O;196.0;0.0;0.0;0.0;0.0;0.0;0.0;196.0
81;2-phenylethanol__2-propanol;2-phenylethanol;2-propanol;OCCc1ccccc1;CC(C)O;129.0;0.0;66.0;0.0;0.0;0.0;0.0;195.0
242;1-butanol__dibutyl ether;1-butanol;dibutyl ether;CCCCO;CCCCOCCCC;55.0;0.0;55.0;0.0;84.0;0.0;0.0;194.0
101;1-butanol__dodecane;1-butanol;dodecane;CCCCO;CCCCCCCCCCCC;102.0;0.0;91.0;0.0;0.0;0.0;0.0;193.0
55;nonane__methyl tert-butyl ether;nonane;methyl tert-butyl ether;CCCCCCCCC;COC(C)(C)C;173.0;0.0;0.0;0.0;20.0;0.0;0.0;193.0
111;1-octanol__hexadecane;1-octanol;hexadecane;CCCCCCCCO;CCCCCCCCCCCCCCCC;96.0;0.0;96.0;0.0;0.0;0.0;0.0;192.0
110;2,6,10,15,19,23-hexamethyltetracosane__1-octanol;2,6,10,15,19,23-hexamethyltetracosane;1-octanol;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C;CCCCCCCCO;96.0;0.0;96.0;0.0;0.0;0.0;0.0;192.0
77;1-butanol__benzene;1-butanol;benzene;CCCCO;c1ccccc1;138.0;0.0;0.0;0.0;51.0;0.0;0.0;189.0
50;2,6,10,15,19,23-hexamethyltetracosane__2,6,10,15,19,23-hexamethyltetracosane;2,6,10,15,19,23-hexamethyltetracosane;2,6,10,15,19,23-hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C;187.0;0.0;0.0;0.0;0.0;0.0;0.0;187.0
119;1-pentanol__diethylene glycol monohexyl ether;1-pentanol;diethylene glycol monohexyl ether;CCCCCO;CCCCCCOCCOCCO;90.0;0.0;90.0;0.0;0.0;0.0;0.0;180.0
