;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
80;2-[2,2-bis(hydroxymethyl)butoxymethyl]-2-ethylpropane-1,3-diol;CCC(CO)(CO)COCC(CC)(CO)CO;214.0;0.0;0.0;0.0;0.0;0.0;0.0;214.0
81;nonane-1,9-diol;OCCCCCCCCCO;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
87;1,2-Diethoxyethane;CCOCCOCC;196.0;0.0;0.0;0.0;17.0;0.0;0.0;213.0
82;2,2-dimethylpropan-1-ol;CC(C)(C)CO;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
114;hexane-1,2-diol;CCCCC(O)CO;96.0;0.0;0.0;0.0;0.0;53.0;60.0;209.0
83;2-Methylpropane-1,3-diol;CC(CO)CO;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
86;2-methylpropylbenzene;CC(C)Cc1ccccc1;200.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0
95;3-methylphenol;Cc1cccc(O)c1;164.0;4.0;32.0;0.0;0.0;0.0;0.0;200.0
96;4-Methylphenol;Cc1ccc(O)cc1;164.0;0.0;32.0;0.0;0.0;0.0;0.0;196.0
88;;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;193.0;0.0;0.0;0.0;0.0;0.0;0.0;193.0
109;(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;117.0;0.0;68.0;0.0;0.0;0.0;0.0;185.0
102;2-Methoxy-2-methylbutane;CCC(C)(C)OC;136.0;4.0;21.0;0.0;0.0;0.0;19.0;180.0
100;benzene-1,3-diol;Oc1cccc(O)c1;142.0;0.0;35.0;0.0;0.0;0.0;0.0;177.0
124;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO;84.0;0.0;76.0;0.0;17.0;0.0;0.0;177.0
91;Cyclohexylmethanol;OCC1CCCCC1;176.0;0.0;0.0;0.0;0.0;0.0;0.0;176.0
92;2-Cyclohexylethanol;OCCC1CCCCC1;175.0;0.0;0.0;0.0;0.0;0.0;0.0;175.0
185;1-pentoxypentane;CCCCCOCCCCC;0.0;0.0;0.0;0.0;174.0;0.0;0.0;174.0
110;2-Ethylhexan-1-ol;CCCCC(CC)CO;116.0;0.0;58.0;0.0;0.0;0.0;0.0;174.0
94;ethoxymethoxyethane;CCOCOCC;173.0;0.0;0.0;0.0;0.0;0.0;0.0;173.0
