;InChI;Count;Component;SMILES
92;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;343;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
93;InChIKey=ZJCCRDAZUWHFQH-UHFFFAOYSA-N;340;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO
94;InChIKey=CZMRCDWAGMRECN-UGDNZRGBSA-N;336;(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
95;InChIKey=XEZNGIUYQVAUSS-UHFFFAOYSA-N;319;1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE;C1COCCOCCOCCOCCOCCO1
96;InChIKey=VFTFKUDGYRBSAL-UHFFFAOYSA-N;319;1,4,7,10,13-PENTAOXACYCLOPENTADECANE;C1COCCOCCOCCOCCO1
97;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;315;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
98;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;313;3-Methylbutan-1-ol;CC(C)CCO
99;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;310;4-Methylphenol;Cc1ccc(O)cc1
100;InChIKey=BGHCVCJVXZWKCC-UHFFFAOYSA-N;300;Tetradecane;CCCCCCCCCCCCCC
101;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;293;;C1CC[C@@H]2CCCC[C@@H]2C1
102;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;287;Cyclopentanol;OC1CCCC1
103;InChIKey=ZUOUZKKEUPVFJK-UHFFFAOYSA-N;282;Phenylbenzene;c1ccc(cc1)c2ccccc2
104;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;276;2,2-dimethylpropan-1-ol;CC(C)(C)CO
105;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;274;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
106;InChIKey=WVIIMZNLDWSIRH-UHFFFAOYSA-N;270;Cyclohexylcyclohexane;C1CCC(CC1)C2CCCCC2
107;InChIKey=WMYINDVYGQKYMI-UHFFFAOYSA-N;270;2-[2,2-bis(hydroxymethyl)butoxymethyl]-2-ethylpropane-1,3-diol;CCC(CO)(CO)COCC(CC)(CO)CO
108;InChIKey=QWGRWMMWNDWRQN-UHFFFAOYSA-N;263;2-Methylpropane-1,3-diol;CC(CO)CO
109;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;260;2-Methylbutan-1-ol;CCC(C)CO
110;InChIKey=KJIOQYGWTQBHNH-UHFFFAOYSA-N;253;undecan-1-ol;CCCCCCCCCCCO
111;InChIKey=USIUVYZYUHIAEV-UHFFFAOYSA-N;250;Phenoxybenzene;O(c1ccccc1)c2ccccc2
112;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;239;dodecan-1-ol;CCCCCCCCCCCCO
113;InChIKey=YHGNXEIQSHICNK-UHFFFAOYSA-N;228;2-(furan-2-ylmethyl)furan;C(c1occc1)c2occc2
114;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;227;;OC[C@H](O)[C@H](O)[C@H](O)CO
115;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;224;2-Methyloxolane;CC1CCCO1
116;InChIKey=QCRFMSUKWRQZEM-UHFFFAOYSA-N;222;Cycloheptanol;OC1CCCCCC1
117;InChIKey=XYVAYAJYLWYJJN-UHFFFAOYSA-N;216;2-(2-propoxypropoxy)propan-1-ol;CCCOC(C)COC(C)CO
118;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;215;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
119;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;213;1,2-Diethoxyethane;CCOCCOCC
120;InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N;213;(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
121;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;209;hexane-1,2-diol;CCCCC(O)CO
122;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;205;2-Ethylhexan-1-ol;CCCCC(CC)CO
