;InChI;Count;Component;SMILES
71;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;15;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
72;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;15;3-Methylbutan-1-ol;CC(C)CCO
73;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;15;;C1CCCCCCC1
74;InChIKey=WSLDOOZREJYCGB-UHFFFAOYSA-N;15;['1,2-dichloroethane', '1,2-dichloroethyne'];ClCCCl
75;InChIKey=HGINCPLSRVDWNT-UHFFFAOYSA-N;15;prop-2-enal;C=CC=O
76;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;14;Methylsulfinylmethane;C[S](C)=O
77;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;13;PROPANE-1,2-DIOL;CC(O)CO
78;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;13;pentan-2-ol;CCCC(C)O
79;InChIKey=YVXHZKKCZYLQOP-UHFFFAOYSA-N;13;hept-1-yne;CCCCCC#C
80;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;13;Propane-1,3-diol;OCCCO
81;InChIKey=UMIPWJGWASORKV-UHFFFAOYSA-N;13;;CCCCCCC#C
82;InChIKey=CGHIBGNXEGJPQZ-UHFFFAOYSA-N;13;hex-1-yne;CCCCC#C
83;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;12;dodecan-1-ol;CCCCCCCCCCCCO
84;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;12;Cycloheptane;C1CCCCCC1
85;InChIKey=IBXNCJKFFQIKKY-UHFFFAOYSA-N;12;pent-1-yne;CCCC#C
86;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;12;Cyclopentane;C1CCCC1
87;InChIKey=YMWUJEATGCHHMB-UHFFFAOYSA-N;12;Dichloromethane;ClCCl
88;InChIKey=VVQNEPGJFQJSBK-UHFFFAOYSA-N;11;methyl 2-methylprop-2-enoate;COC(=O)C(C)=C
89;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;11;Pentan-3-ol;CCC(O)CC
90;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;10;PROPANE-1,2,3-TRIOL;OCC(O)CO
91;InChIKey=FKRCODPIKNYEAC-UHFFFAOYSA-N;10;Ethyl propanoate;CCOC(=O)CC
92;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;10;3-Methylbutan-2-ol;CC(C)C(C)O
93;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;9;FURAN;o1cccc1
94;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;9;DECAN-1-OL;CCCCCCCCCCO
95;InChIKey=HLZKNKRTKFSKGZ-UHFFFAOYSA-N;8;tetradecan-1-ol;CCCCCCCCCCCCCCO
96;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;8;Dimethyl carbonate;COC(=O)OC
97;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;8;Methylcyclohexane;CC1CCCCC1
98;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;8;Diethyl carbonate;CCOC(=O)OCC
99;InChIKey=ZHNUHDYFZUAESO-UHFFFAOYSA-N;8;FORMAMIDE;NC=O
100;InChIKey=XTXRWKRVRITETP-UHFFFAOYSA-N;8;Ethenyl acetate;CC(=O)OC=C
101;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;7;Ethane-1,2-diol;OCCO
102;InChIKey=MLUCVPSAIODCQM-NSCUHMNNSA-N;7;(E)-but-2-enal;C/C=C/C=O
103;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;7;1-Butoxybutane;CCCCOCCCC
104;InChIKey=HGBOYTHUEUWSSQ-UHFFFAOYSA-N;7;Pentanal;CCCCC=O
105;InChIKey=OBNCKNCVKJNDBV-UHFFFAOYSA-N;7;Ethyl butanoate;CCCC(=O)OCC
106;InChIKey=SQCZQTSHSZLZIQ-UHFFFAOYSA-N;7;1-Chloropentane;CCCCCCl
107;InChIKey=VZGDMQKNWNREIO-UHFFFAOYSA-N;7;Tetrachloromethane;ClC(Cl)(Cl)Cl
108;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;7;Ethoxyethane;CCOCC
109;InChIKey=MLRVZFYXUZQSRU-UHFFFAOYSA-N;7;1-CHLOROHEXANE;CCCCCCCl
110;InChIKey=AFFLGGQVNFXPEV-UHFFFAOYSA-N;7;Dec-1-ene;CCCCCCCCC=C
111;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;6;Ethylcyclohexane;CCC1CCCCC1
112;InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N;5;Propane-1-thiol;CCCS
113;InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N;5;THIOPHENE;s1cccc1
114;InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N;5;butane-1-thiol;CCCCS
115;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;4;Undecane;CCCCCCCCCCC
116;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;4;2-Methoxy-2-methylpropane;COC(C)(C)C
117;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;4;3-methylphenol;Cc1cccc(O)c1
118;InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N;4;Propane-2-thiol;CC(C)S
119;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;4;NAPHTHALENE;c1ccc2ccccc2c1
120;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;4;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
121;InChIKey=JUJWROOIHBZHMG-UHFFFAOYSA-N;4;Pyridine;c1ccncc1
122;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;4;2-Methoxy-2-methylbutane;CCC(C)(C)OC
123;InChIKey=NQRYJNQNLNOLGT-UHFFFAOYSA-N;4;Piperidine;C1CCNCC1
124;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;4;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
125;InChIKey=PYLWMHQQBFSUBP-UHFFFAOYSA-N;4;Fluorobenzene;Fc1ccccc1
126;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;4;2-Methylphenol;Cc1ccccc1O
127;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;3;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1
128;InChIKey=FXNDIJDIPNCZQJ-UHFFFAOYSA-N;3;2,4,4-Trimethylpent-1-ene;CC(=C)CC(C)(C)C
129;InChIKey=QARVLSVVCXYDNA-UHFFFAOYSA-N;3;Bromobenzene;Brc1ccccc1
130;InChIKey=BBDKZWKEPDTENS-UHFFFAOYSA-N;3;4-Ethenylcyclohexene;C=CC1CCC=CC1
131;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;2;Methylcyclopentane;CC1CCCC1
132;InChIKey=HGCIXCUEYOPUTN-UHFFFAOYSA-N;2;Cyclohexene;C1CCC=CC1
133;InChIKey=PYGSKMBEVAICCR-UHFFFAOYSA-N;2;Hexa-1,5-diene;C=CCCC=C
134;InChIKey=XWJBRBSPAODJER-UHFFFAOYSA-N;2;Octa-1,7-diene;C=CCCCCC=C
135;InChIKey=CHVJITGCYZJHLR-UHFFFAOYSA-N;1;['cyclohepta-1,3,5-triene', 'cyclohepta-1,2,4,6-tetraene'];C1C=CC=CC=C1
136;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;1;Butane-1,3-diol;CC(O)CCO
137;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;1;butane-1,2-diol;CCC(O)CO
138;InChIKey=ZUOUZKKEUPVFJK-UHFFFAOYSA-N;1;Phenylbenzene;c1ccc(cc1)c2ccccc2
139;InChIKey=XNNQFQFUQLJSQT-UHFFFAOYSA-N;1;bromo-trichloromethane;ClC(Cl)(Cl)Br
140;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1;Pentan-1-ol;CCCCCO
141;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;1;HEXAN-1-OL;CCCCCCO
142;InChIKey=CYTYCFOTNPOANT-UHFFFAOYSA-N;1;1,1,2,2-Tetrachloroethene;ClC(Cl)=C(Cl)Cl
143;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;1;HEXADECANE;CCCCCCCCCCCCCCCC
144;InChIKey=RFFLAFLAYFXFSW-UHFFFAOYSA-N;1;1,2-Dichlorobenzene;Clc1ccccc1Cl
145;InChIKey=LPIQUOYDBNQMRZ-UHFFFAOYSA-N;1;Cyclopentene;C1CC=CC1
