;InChI;Count;Component;SMILES
85;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
86;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;5;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
87;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;5;1-Methoxypropan-2-ol;COCC(C)O
88;InChIKey=XYVAYAJYLWYJJN-UHFFFAOYSA-N;5;2-(2-propoxypropoxy)propan-1-ol;CCCOC(C)COC(C)CO
89;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;5;Cyclohexanol;OC1CCCCC1
90;InChIKey=BANXPJUEBPWEOT-UHFFFAOYSA-N;5;2-METHYLPENTADECANE;CCCCCCCCCCCCCC(C)C
91;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;5;1-Butoxypropan-2-ol;CCCCOCC(C)O
92;InChIKey=DOGIHOCMZJUJNR-UHFFFAOYSA-N;5;4-Methyloctane;CCCCC(C)CCC
93;InChIKey=JEEQUUSFXYRPRK-UHFFFAOYSA-N;5;3,6-Dimethyloctane;CCC(C)CCC(C)CC
94;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;5;2-(2-Methoxyethoxy)ethanol;COCCOCCO
95;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;5;octan-2-ol;CCCCCCC(C)O
96;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;5;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
97;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;4;;CC(C)c1ccccc1
98;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;4;3-Methylbutan-1-ol;CC(C)CCO
99;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;4;2-Methyloxolane;CC1CCCO1
100;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;4;2-Ethylhexan-1-ol;CCCCC(CC)CO
101;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;4;;C1CCCCCCC1
102;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
103;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;3;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
104;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;3;2-methylpropylbenzene;CC(C)Cc1ccccc1
105;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;3;Butylbenzene;CCCCc1ccccc1
106;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;2;Pentane-1,5-diol;OCCCCCO
107;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;2;;CC(O)C(C)O
108;InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N;2;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2
109;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;2;hexan-2-ol;CCCCC(C)O
110;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;2;heptan-2-ol;CCCCCC(C)O
111;InChIKey=YHGNXEIQSHICNK-UHFFFAOYSA-N;1;2-(furan-2-ylmethyl)furan;C(c1occc1)c2occc2
112;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;1;furan-2-ylmethanol;OCc1occc1
113;InChIKey=OQUIHNRSFOIOFU-UHFFFAOYSA-N;1;1-methoxy-2-(2-methoxypropoxy)propane;COCC(C)OCC(C)OC
114;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;1;2-Methoxy-2-methylbutane;CCC(C)(C)OC
115;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;1;oxolan-2-ylmethanol;OCC1CCCO1
116;InChIKey=KZVBBTZJMSWGTK-UHFFFAOYSA-N;1;1-[2-(2-butoxyethoxy)ethoxy]butane;CCCCOCCOCCOCCCC
117;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
118;InChIKey=NNBZCPXTIHJBJL-UHFFFAOYSA-N;1;1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene;C1CCC2CCCCC2C1
119;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;1;Ethoxyethane;CCOCC
120;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;1;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
