;InChI;Count;Component;SMILES
94;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;16;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
95;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;15;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
96;InChIKey=TZYRSLHNPKPEFV-UHFFFAOYSA-N;15;2-Ethylbutan-1-ol;CCC(CC)CO
97;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;15;Pentane;CCCCC
98;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;15;hexane-1,2-diol;CCCCC(O)CO
99;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;15;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
100;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;14;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
101;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;13;1,3-DIOXOLANE;C1COCO1
102;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;12;;C1CCCCCCC1
103;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;12;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
104;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;11;2-Methylbutan-1-ol;CCC(C)CO
105;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;11;heptan-2-ol;CCCCCC(C)O
106;InChIKey=ZWAJLVLEBYIOTI-UHFFFAOYSA-N;10;7-Oxabicyclo[4.1.0]heptane;C1CCC2OC2C1
107;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;10;2-(2-Methoxyethoxy)ethanol;COCCOCCO
108;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;10;2-Methyloxolane;CC1CCCO1
109;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
110;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;9;1-Methoxypropan-2-ol;COCC(C)O
111;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;9;1-propoxypropane;CCCOCCC
112;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;9;4-Methylphenol;Cc1ccc(O)cc1
113;InChIKey=VKPSKYDESGTTFR-UHFFFAOYSA-N;9;2,2,4,6,6-PENTAMETHYLHEPTANE;CC(CC(C)(C)C)CC(C)(C)C
114;InChIKey=WFSMVVDJSNMRAR-UHFFFAOYSA-N;9;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO
115;InChIKey=PZHIWRCQKBBTOW-UHFFFAOYSA-N;8;1-ethoxybutane;CCCCOCC
116;InChIKey=VDHBXQMYKGNZRP-UHFFFAOYSA-N;8;1-butoxy-2-methylpropane;CCCCOCC(C)C
117;InChIKey=DMUSSSYUUUYJRM-UHFFFAOYSA-N;8;1-propoxypentane;CCCCCOCCC
118;InChIKey=ZXHQLEQLZPJIFG-UHFFFAOYSA-N;8;1-ethoxyhexane;CCCCCCOCC
119;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;8;Cyclohexanol;OC1CCCCC1
120;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;8;3-methylphenol;Cc1cccc(O)c1
121;InChIKey=XYVAYAJYLWYJJN-UHFFFAOYSA-N;8;2-(2-propoxypropoxy)propan-1-ol;CCCOC(C)COC(C)CO
122;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;7;;CC(C)c1ccccc1
123;InChIKey=VCJPCEVERINRSG-UHFFFAOYSA-N;6;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1
124;InChIKey=ODLMAHJVESYWTB-UHFFFAOYSA-N;6;Propylbenzene;CCCc1ccccc1
125;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;6;Cyclopentanol;OC1CCCC1
126;InChIKey=GGBJHURWWWLEQH-UHFFFAOYSA-N;6;Butylcyclohexane;CCCCC1CCCCC1
127;InChIKey=LCZVSXRMYJUNFX-UHFFFAOYSA-N;6;2-[2-(2-hydroxypropoxy)propoxy]propan-1-ol;CC(O)COC(C)COC(C)CO
128;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;6;Ethylcyclohexane;CCC1CCCCC1
