;InChI;Count;Component;SMILES
80;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;111;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
81;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;110;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
82;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;106;pentan-2-ol;CCCC(C)O
83;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;105;2,3-Dimethylbutane;CC(C)C(C)C
84;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;105;3-Methylpentane;CCC(C)CC
85;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;104;2,2-Dimethylbutane;CCC(C)(C)C
86;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;98;Cyclopentane;C1CCCC1
87;InChIKey=ZZLCFHIKESPLTH-UHFFFAOYSA-N;94;1-Methyl-4-phenylbenzene;Cc1ccc(cc1)c2ccccc2
88;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;94;Methoxybenzene;COc1ccccc1
89;InChIKey=UPOMCDPCTBJJDA-UHFFFAOYSA-N;92;2-methyl-2-(2-methylpropoxy)propane;CC(C)COC(C)(C)C
90;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;91;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
91;InChIKey=UZILCZKGXMQEQR-UHFFFAOYSA-N;91;Decylbenzene;CCCCCCCCCCc1ccccc1
92;InChIKey=XBEADGFTLHRJRB-UHFFFAOYSA-N;91;Undecylbenzene;CCCCCCCCCCCc1ccccc1
93;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;87;2-Ethylhexan-1-ol;CCCCC(CC)CO
94;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;87;2-Methylphenol;Cc1ccccc1O
95;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;86;2-propan-2-yloxyethanol;CC(C)OCCO
96;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;84;1-Propoxypropan-2-ol;CCCOCC(C)O
97;InChIKey=XKIRHOWVQWCYBT-UHFFFAOYSA-N;80;3-Ethylpentan-3-ol;CCC(O)(CC)CC
98;InChIKey=FRDAATYAJDYRNW-UHFFFAOYSA-N;80;3-Methylpentan-3-ol;CCC(C)(O)CC
99;InChIKey=CWNOIUTVJRWADX-UHFFFAOYSA-N;79;1,3-DIMETHYLADAMANTANE;CC12CC3CC(C1)CC(C)(C3)C2
100;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;78;phenylmethanol;OCc1ccccc1
101;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;76;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
102;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;76;2-Butoxyethanol;CCCCOCCO
103;InChIKey=USIUVYZYUHIAEV-UHFFFAOYSA-N;74;Phenoxybenzene;O(c1ccccc1)c2ccccc2
104;InChIKey=TZYRSLHNPKPEFV-UHFFFAOYSA-N;70;2-Ethylbutan-1-ol;CCC(CC)CO
105;InChIKey=CJGXJKVMUHXVHL-UHFFFAOYSA-N;69;2,2-dimethylpropylbenzene;CC(C)(C)Cc1ccccc1
106;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;66;2,2-dimethylpropan-1-ol;CC(C)(C)CO
107;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;64;Ethoxyethane;CCOCC
108;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;62;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
109;InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N;60;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2
110;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;59;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
111;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;59;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
112;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;58;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
113;InChIKey=NNBZCPXTIHJBJL-MGCOHNPYSA-N;55;;C1CC[C@H]2CCCC[C@@H]2C1
114;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;55;PROPANE-1,2,3-TRIOL;OCC(O)CO
115;InChIKey=CDOYZTOFTGTGBC-UHFFFAOYSA-N;54;1-tert-butyl-4-phenylbenzene;CC(C)(C)c1ccc(cc1)c2ccccc2
116;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;51;3-Methylbutan-1-ol;CC(C)CCO
117;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;50;BUTANE;CCCC
118;InChIKey=FHADSMKORVFYOS-UHFFFAOYSA-N;48;Cyclooctanol;OC1CCCCCCC1
119;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;46;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
120;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;46;1,3-DIOXOLANE;C1COCO1
121;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;46;Pentane-1,5-diol;OCCCCCO
122;InChIKey=RZJRJXONCZWCBN-UHFFFAOYSA-N;44;Octadecane;CCCCCCCCCCCCCCCCCC
123;InChIKey=QJQZRLXDLORINA-UHFFFAOYSA-N;42;2-Cyclohexylethanol;OCCC1CCCCC1
124;InChIKey=SXCBDZAEHILGLM-UHFFFAOYSA-N;41;Heptane-1,7-diol;OCCCCCCCO
125;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;41;2-Propoxyethanol;CCCOCCO
126;InChIKey=VSSAZBXXNIABDN-UHFFFAOYSA-N;40;Cyclohexylmethanol;OCC1CCCCC1
127;InChIKey=CLYAQFSQLQTVNO-UHFFFAOYSA-N;40;3-Cyclohexylpropan-1-ol;OCCCC1CCCCC1
128;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;40;Cyclohexanol;OC1CCCCC1
129;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;39;;C1CC[C@@H]2CCCC[C@@H]2C1
130;InChIKey=KTHXBEHDVMTNOH-UHFFFAOYSA-N;38;Cyclobutanol;OC1CCC1
131;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;35;3-Methylbutan-2-ol;CC(C)C(C)O
132;InChIKey=DJCYDDALXPHSHR-UHFFFAOYSA-N;35;2-(2-Propoxyethoxy)ethanol;CCCOCCOCCO
133;InChIKey=ZNYRFEPBTVGZDN-UHFFFAOYSA-N;34;2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethanol;COCCOCCOCCOCCO
134;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;34;2-PHENYLETHANOL;OCCc1ccccc1
135;InChIKey=XIVLVYLYOMHUGB-UHFFFAOYSA-N;34;2-[2-(2-octoxyethoxy)ethoxy]ethanol;CCCCCCCCOCCOCCOCCO
136;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;32;2-Methyloxolane;CC1CCCO1
137;InChIKey=QCRFMSUKWRQZEM-UHFFFAOYSA-N;31;Cycloheptanol;OC1CCCCCC1
138;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;29;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
139;InChIKey=VKPSKYDESGTTFR-UHFFFAOYSA-N;28;2,2,4,6,6-PENTAMETHYLHEPTANE;CC(CC(C)(C)C)CC(C)(C)C
140;InChIKey=VFTFKUDGYRBSAL-UHFFFAOYSA-N;25;1,4,7,10,13-PENTAOXACYCLOPENTADECANE;C1COCCOCCOCCOCCO1
141;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;25;ETHANE;CC
142;InChIKey=LHGVFZTZFXWLCP-UHFFFAOYSA-N;24;2-Methoxyphenol;COc1ccccc1O
143;InChIKey=ALVZNPYWJMLXKV-UHFFFAOYSA-N;24;nonane-1,9-diol;OCCCCCCCCCO
144;InChIKey=VCLJODPNBNEBKW-UHFFFAOYSA-N;24;2,2,4,4,6,8,8-Heptamethylnonane;CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
145;InChIKey=XQQZRZQVBFHBHL-UHFFFAOYSA-N;24;1,4,7,10-TETRAOXACYCLODODECANE;C1COCCOCCOCCO1
146;InChIKey=KZVBBTZJMSWGTK-UHFFFAOYSA-N;23;1-[2-(2-butoxyethoxy)ethoxy]butane;CCCCOCCOCCOCCCC
147;InChIKey=OQUIHNRSFOIOFU-UHFFFAOYSA-N;23;1-methoxy-2-(2-methoxypropoxy)propane;COCC(C)OCC(C)OC
148;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;22;;OC[C@H](O)[C@H](O)[C@H](O)CO
149;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;22;1,2-Diethoxyethane;CCOCCOCC
150;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;21;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
151;InChIKey=KTSVVTQTKRGWGU-UHFFFAOYSA-N;21;1-[2-[2-(2-butoxyethoxy)ethoxy]ethoxy]butane;CCCCOCCOCCOCCOCCCC
152;InChIKey=DZJTZGHZAWTWGA-UHFFFAOYSA-N;20;3,5-DIMETHYLHEPTANE;CCC(C)CC(C)CC
153;InChIKey=REZBJCUQELMZBL-UHFFFAOYSA-N;20;1-tert-butyl-4-(phenoxy)benzene;CC(C)(C)c1ccc(Oc2ccccc2)cc1
154;InChIKey=HTZWVZNRDDOFEI-UHFFFAOYSA-N;20;3-METHYLUNDECANE;CCCCCCCCC(C)CC
155;InChIKey=DOGIHOCMZJUJNR-UHFFFAOYSA-N;20;4-Methyloctane;CCCCC(C)CCC
156;InChIKey=SGVYKUFIHHTIFL-UHFFFAOYSA-N;20;2-Methylnonane;CCCCCCCC(C)C
157;InChIKey=CNPVJWYWYZMPDS-UHFFFAOYSA-N;20;2-Methyldecane;CCCCCCCCC(C)C
158;InChIKey=JEEQUUSFXYRPRK-UHFFFAOYSA-N;20;3,6-Dimethyloctane;CCC(C)CCC(C)CC
159;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;20;;CC(O)C(C)O
160;InChIKey=HZRSSYSIMDTFLT-UHFFFAOYSA-N;20;;CCCCCCCCCC(C)CCCCCC
161;InChIKey=ZUBZATZOEPUUQF-UHFFFAOYSA-N;20;2-Methyloctane;CCCCCCC(C)C
162;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;20;hexane-1,2-diol;CCCCC(O)CO
163;InChIKey=BANXPJUEBPWEOT-UHFFFAOYSA-N;20;2-METHYLPENTADECANE;CCCCCCCCCCCCCC(C)C
164;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;19;octan-2-ol;CCCCCCC(C)O
165;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;19;Pentane;CCCCC
166;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;19;;CC(C)c1ccccc1
167;InChIKey=LPSXSORODABQKT-UHFFFAOYSA-N;19;;C1CC2C3CCC(C3)C2C1
168;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;19;;C1CCCCCCC1
169;InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N;18;PHENOL;Oc1ccccc1
170;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;18;dodecan-1-ol;CCCCCCCCCCCCO
171;InChIKey=QPUYECUOLPXSFR-UHFFFAOYSA-N;17;1-Methylnaphthalene;Cc1cccc2ccccc12
172;InChIKey=XEZNGIUYQVAUSS-UHFFFAOYSA-N;16;1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE;C1COCCOCCOCCOCCOCCO1
173;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;15;1-propoxypropane;CCCOCCC
174;InChIKey=WVIIMZNLDWSIRH-UHFFFAOYSA-N;15;Cyclohexylcyclohexane;C1CCC(CC1)C2CCCCC2
175;InChIKey=SQYNKIJPMDEDEG-UHFFFAOYSA-N;15;2,4,6-Trimethyl-1,3,5-trioxane;CC1OC(C)OC(C)O1
