;Mixture;Count;x1;x2;SMILES1;SMILES2
114;1-butanol__2,2,4-trimethylpentane;93;1-butanol;2,2,4-trimethylpentane;CCCCO;CC(C)CC(C)(C)C
118;oxacyclopentane__water;90;oxacyclopentane;water;C1CCOC1;O
125;ethyl alcohol__pentan-1-ol;88;ethyl alcohol;pentan-1-ol;CCO;CCCCCO
127;ethyl alcohol__propan-1-ol;88;ethyl alcohol;propan-1-ol;CCO;CCCO
129;ethyl alcohol__n-butyl alcohol;88;ethyl alcohol;n-butyl alcohol;CCO;CCCCO
140;2-propanol__tetrahydropyran;84;2-propanol;tetrahydropyran;CC(C)O;C1CCOCC1
142;tetrahydropyran__pentane, 2,2,4-trimethyl-;84;tetrahydropyran;pentane, 2,2,4-trimethyl-;C1CCOCC1;CC(C)CC(C)(C)C
143;1-hexanol__2,2,4-trimethylpentane;84;1-hexanol;2,2,4-trimethylpentane;CCCCCCO;CC(C)CC(C)(C)C
144;2-propanol__pentane, 2,2,4-trimethyl-;84;2-propanol;pentane, 2,2,4-trimethyl-;CC(C)O;CC(C)CC(C)(C)C
148;1-butanol__2-methyl-1-propanol;81;1-butanol;2-methyl-1-propanol;CCCCO;CC(C)CO
153;2-methyl-1-propanol__water;79;2-methyl-1-propanol;water;CC(C)CO;O
154;1-pentanol__2,2,4-trimethylpentane;79;1-pentanol;2,2,4-trimethylpentane;CCCCCO;CC(C)CC(C)(C)C
155;2-propanol__cyclohexane;78;2-propanol;cyclohexane;CC(C)O;C1CCCCC1
166;n-heptane__2,2,4-trimethylpentane;77;n-heptane;2,2,4-trimethylpentane;CCCCCCC;CC(C)CC(C)(C)C
170;1-butanol__water;75;1-butanol;water;CCCCO;O
172;2-propanol__1,3-dioxolane;74;2-propanol;1,3-dioxolane;CC(C)O;C1COCO1
174;1-butanol__2-methyl-2-propanol;72;1-butanol;2-methyl-2-propanol;CCCCO;CC(C)(C)O
176;ethanol__isooctane;72;ethanol;isooctane;CCO;CCCCCC(C)C
183;tert-butanol__heptane;70;tert-butanol;heptane;CC(C)(C)O;CCCCCCC
200;2-propanol__tert-butanol;66;2-propanol;tert-butanol;CC(C)O;CC(C)(C)O
202;1-propanol__tert-butanol;66;1-propanol;tert-butanol;CCCO;CC(C)(C)O
210;methanol__cyclohexane;64;methanol;cyclohexane;CO;C1CCCCC1
215;1-propanol__cyclopentane;63;1-propanol;cyclopentane;CCCO;C1CCCC1
216;ethanol__2-methyl-2-propanol;63;ethanol;2-methyl-2-propanol;CCO;CC(C)(C)O
217;2-methyl-2-propanol__2,2,4-trimethylpentane;63;2-methyl-2-propanol;2,2,4-trimethylpentane;CC(C)(C)O;CC(C)CC(C)(C)C
218;ethanol__methanol;63;ethanol;methanol;CCO;CO
219;2,2,4-trimethylpentane__1,3-dioxolane;63;2,2,4-trimethylpentane;1,3-dioxolane;CC(C)CC(C)(C)C;C1COCO1
221;1-butanol__hexane;60;1-butanol;hexane;CCCCO;CCCCCC
231;1-hexanol__1,4-dioxane;56;1-hexanol;1,4-dioxane;CCCCCCO;C1COCCO1
234;n-propanol__water;56;n-propanol;water;CCCO;O
237;1-butanol__heptane;55;1-butanol;heptane;CCCCO;CCCCCCC
245;2-propanol__1-propanol;55;2-propanol;1-propanol;CC(C)O;CCCO
254;1-propanol__cyclohexane;50;1-propanol;cyclohexane;CCCO;C1CCCCC1
269;tetrahydrofuran__n-hexyl alcohol;48;tetrahydrofuran;n-hexyl alcohol;C1CCOC1;CCCCCCO
279;2,2,4-trimethylpentane__butane, 2-methoxy-2-methyl-;48;2,2,4-trimethylpentane;butane, 2-methoxy-2-methyl-;CC(C)CC(C)(C)C;CCC(C)(C)OC
280;2-methoxyethanol__1-hexanol;48;2-methoxyethanol;1-hexanol;COCCO;CCCCCCO
295;isopropanol__isobutyl alcohol;45;isopropanol;isobutyl alcohol;CC(C)O;CC(C)CO
298;2-(2-methylpropoxy)ethanol__water;45;2-(2-methylpropoxy)ethanol;water;CC(C)COCCO;O
301;1-hexanol__heptane;45;1-hexanol;heptane;CCCCCCO;CCCCCCC
