;Mixture;Count;x1;x2;SMILES1;SMILES2
356;2-methyl-2-propanol__tert-butyl ethyl ether;78;2-methyl-2-propanol;tert-butyl ethyl ether;CC(C)(C)O;CCOC(C)(C)C
376;ethanol__2-propanol;76;ethanol;2-propanol;CCO;CC(C)O
380;ethanol__1-propanol;74;ethanol;1-propanol;CCO;CCCO
382;1-butanol__2-methyl-2-propanol;72;1-butanol;2-methyl-2-propanol;CCCCO;CC(C)(C)O
385;2-propanol__methylcyclohexane;71;2-propanol;methylcyclohexane;CC(C)O;CC1CCCCC1
386;tert-butanol__heptane;70;tert-butanol;heptane;CC(C)(C)O;CCCCCCC
390;1-propanol__isopropyl ether;66;1-propanol;isopropyl ether;CCCO;CC(C)OC(C)C
407;1,4-dioxane__cyclopentane;66;1,4-dioxane;cyclopentane;C1COCCO1;C1CCCC1
416;2-methoxyethanol__cyclohexane;66;2-methoxyethanol;cyclohexane;COCCO;C1CCCCC1
430;methanol__cyclohexane;64;methanol;cyclohexane;CO;C1CCCCC1
436;2,2,4-trimethylpentane__1,3-dioxolane;63;2,2,4-trimethylpentane;1,3-dioxolane;CC(C)CC(C)(C)C;C1COCO1
437;ethanol__2-methyl-2-propanol;63;ethanol;2-methyl-2-propanol;CCO;CC(C)(C)O
438;tetrahydrofuran__2,2,4-trimethylpentane;63;tetrahydrofuran;2,2,4-trimethylpentane;C1CCOC1;CC(C)CC(C)(C)C
441;2-propanol__2,2,4-trimethylpentane;63;2-propanol;2,2,4-trimethylpentane;CC(C)O;CC(C)CC(C)(C)C
443;isopropyl ether__methylcyclohexane;63;isopropyl ether;methylcyclohexane;CC(C)OC(C)C;CC1CCCCC1
444;2-methyl-2-propanol__2,2,4-trimethylpentane;63;2-methyl-2-propanol;2,2,4-trimethylpentane;CC(C)(C)O;CC(C)CC(C)(C)C
458;cyclohexane__tetrahydropyran;59;cyclohexane;tetrahydropyran;C1CCCCC1;C1CCOCC1
459;2-propanol__1-propanol;58;2-propanol;1-propanol;CC(C)O;CCCO
460;methylcyclohexane__heptane;58;methylcyclohexane;heptane;CC1CCCCC1;CCCCCCC
464;methylcyclohexane__hexane;57;methylcyclohexane;hexane;CC1CCCCC1;CCCCCC
470;n-propanol__water;56;n-propanol;water;CCCO;O
472;ethanol, 2-ethoxy-__water;56;ethanol, 2-ethoxy-;water;CCOCCO;O
475;1-hexanol__1,4-dioxane;56;1-hexanol;1,4-dioxane;CCCCCCO;C1COCCO1
478;tetramethylene oxide__water;55;tetramethylene oxide;water;C1CCOC1;O
508;hexane__ethanol, 2-ethoxy-;51;hexane;ethanol, 2-ethoxy-;CCCCCC;CCOCCO
509;1-pentanol__cyclohexane;51;1-pentanol;cyclohexane;CCCCCO;C1CCCCC1
521;2,2,4-trimethylpentane__butane, 2-methoxy-2-methyl-;48;2,2,4-trimethylpentane;butane, 2-methoxy-2-methyl-;CC(C)CC(C)(C)C;CCC(C)(C)OC
525;hexane__cyclohexane;48;hexane;cyclohexane;CCCCCC;C1CCCCC1
527;1-propanol__tetrahydrofuran;47;1-propanol;tetrahydrofuran;CCCO;C1CCOC1
531;p-dioxane__water;46;p-dioxane;water;C1COCCO1;O
533;isopropanol__isobutyl alcohol;45;isopropanol;isobutyl alcohol;CC(C)O;CC(C)CO
536;1-hexanol__heptane;45;1-hexanol;heptane;CCCCCCO;CCCCCCC
540;hexane__1,4-dioxane;44;hexane;1,4-dioxane;CCCCCC;C1COCCO1
541;2-methyl-2-propanol__1,4-dioxane;44;2-methyl-2-propanol;1,4-dioxane;CC(C)(C)O;C1COCCO1
543;2-methyl-2-propanol__1,3-dioxolane;44;2-methyl-2-propanol;1,3-dioxolane;CC(C)(C)O;C1COCO1
545;2-methyl-1-propanol__1,4-dioxane;44;2-methyl-1-propanol;1,4-dioxane;CC(C)CO;C1COCCO1
550;1-propanol__methylcyclohexane;44;1-propanol;methylcyclohexane;CCCO;CC1CCCCC1
551;methylcyclohexane__2,2,4-trimethylpentane;44;methylcyclohexane;2,2,4-trimethylpentane;CC1CCCCC1;CC(C)CC(C)(C)C
566;2-methyl-1-propanol__1,3-dioxolane;44;2-methyl-1-propanol;1,3-dioxolane;CC(C)CO;C1COCO1
569;2-methyl-1-propanol__methylcyclohexane;44;2-methyl-1-propanol;methylcyclohexane;CC(C)CO;CC1CCCCC1
572;methylcyclohexane__3-methyl-1-butanol;44;methylcyclohexane;3-methyl-1-butanol;CC1CCCCC1;CC(C)CCO
573;n-propyl alcohol__isobutyl alcohol;44;n-propyl alcohol;isobutyl alcohol;CCCO;CC(C)CO
579;pentan-1-ol__isooctane;42;pentan-1-ol;isooctane;CCCCCO;CCCCCC(C)C
585;tetrahydropyran__heptane;42;tetrahydropyran;heptane;C1CCOCC1;CCCCCCC
588;2,2,4-trimethylpentane__2-pentanol;42;2,2,4-trimethylpentane;2-pentanol;CC(C)CC(C)(C)C;CCCC(C)O
590;1-propanol__tert-amyl methyl ether;42;1-propanol;tert-amyl methyl ether;CCCO;CCC(C)(C)OC
592;n-heptane__2-pentanol;42;n-heptane;2-pentanol;CCCCCCC;CCCC(C)O
593;cyclohexane__tert-butyl ethyl ether;42;cyclohexane;tert-butyl ethyl ether;C1CCCCC1;CCOC(C)(C)C
598;n-hexane__tetrahydropyran;42;n-hexane;tetrahydropyran;CCCCCC;C1CCOCC1
599;pentan-1-ol__heptane;42;pentan-1-ol;heptane;CCCCCO;CCCCCCC
600;ethylene glycol methyl ether__water;42;ethylene glycol methyl ether;water;COCCO;O
603;heptane__tert-butyl ethyl ether;41;heptane;tert-butyl ethyl ether;CCCCCCC;CCOC(C)(C)C
612;cyclohexane__heptane;39;cyclohexane;heptane;C1CCCCC1;CCCCCCC
613;cyclohexane__2-pentanol;39;cyclohexane;2-pentanol;C1CCCCC1;CCCC(C)O
615;methanol__2-methyl-1-butanol;38;methanol;2-methyl-1-butanol;CO;CCC(C)CO
619;1-propanol__3-methyl-1-butanol;38;1-propanol;3-methyl-1-butanol;CCCO;CC(C)CCO
621;hexane__ether, methyl tert-pentyl;38;hexane;ether, methyl tert-pentyl;CCCCCC;CCC(C)(C)OC
622;1-propanol__2-methyl-1-butanol;38;1-propanol;2-methyl-1-butanol;CCCO;CCC(C)CO
627;1-pentanol__cyclopentane;36;1-pentanol;cyclopentane;CCCCCO;C1CCCC1
629;2-isopropoxyethanol__water;36;2-isopropoxyethanol;water;CC(C)OCCO;O
646;2-methoxyethanol__water;32;2-methoxyethanol;water;COCCO;O
649;2-methyl-1-propanol__hexane;32;2-methyl-1-propanol;hexane;CC(C)CO;CCCCCC
651;2-methyl-1-butanol__water;31;2-methyl-1-butanol;water;CCC(C)CO;O
653;dioxolane__water;30;dioxolane;water;C1COCO1;O
667;propan-1-ol__water;30;propan-1-ol;water;CCCO;O
678;oxane__water;28;oxane;water;C1CCOCC1;O
687;cyclopentane__1,3-dioxolane;27;cyclopentane;1,3-dioxolane;C1CCCC1;C1COCO1
689;cyclohexane__1,3-dioxolane;27;cyclohexane;1,3-dioxolane;C1CCCCC1;C1COCO1
690;2-methyl-1-propanol__2-methyltetrahydrofuran;26;2-methyl-1-propanol;2-methyltetrahydrofuran;CC(C)CO;CC1CCCO1
