;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar volume, m3/mol;Excess molar volume, m3/mol_std
4156;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.8051;303.15;101.3;-1.202e-07;2e-09
4157;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.8661;303.15;101.3;-9.19e-08;2e-09
4158;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.9254;303.15;101.3;-5.77e-08;2e-09
4159;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.0685;313.15;101.3;-1.32e-08;2e-09
4160;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.1556;313.15;101.3;-3.07e-08;2e-09
4161;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.2289;313.15;101.3;-4.69e-08;2e-09
4162;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3056;313.15;101.3;-6.61e-08;2e-09
4163;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3754;313.15;101.3;-8.45e-08;2e-09
4164;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.4301;313.15;101.3;-9.67e-08;2e-09
4165;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.4856;313.15;101.3;-1.085e-07;2e-09
4166;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5326;313.15;101.3;-1.168e-07;2e-09
4167;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5896;313.15;101.3;-1.248e-07;2e-09
4168;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6258;313.15;101.3;-1.273e-07;2e-09
4169;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6884;313.15;101.3;-1.257e-07;2e-09
4170;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.7552;313.15;101.3;-1.173e-07;2e-09
4171;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.8325;313.15;101.3;-9.51e-08;2e-09
4172;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.9235;313.15;101.3;-5.16e-08;2e-09
4173;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.0953;323.15;101.3;-1.03e-08;2e-09
4174;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.1589;323.15;101.3;-1.8e-08;2e-09
4175;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.2435;323.15;101.3;-3.31e-08;2e-09
4176;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3152;323.15;101.3;-4.76e-08;2e-09
4177;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3926;323.15;101.3;-6.46e-08;2e-09
4178;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.4552;323.15;101.3;-7.85e-08;2e-09
4179;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5123;323.15;101.3;-8.84e-08;2e-09
4180;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5649;323.15;101.3;-9.72e-08;2e-09
4181;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6013;323.15;101.3;-1.017e-07;2e-09
4182;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6641;323.15;101.3;-1.038e-07;2e-09
4183;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.7326;323.15;101.3;-1.017e-07;2e-09
4184;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.7836;323.15;101.3;-9.27e-08;2e-09
4185;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.8526;323.15;101.3;-7.48e-08;2e-09
4186;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.9465;323.15;101.3;-3.22e-08;2e-09
4187;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.0842;333.15;101.3;-1.8e-09;2e-09
4188;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.1662;333.15;101.3;-5.8e-09;2e-09
4189;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.2285;333.15;101.3;-1.29e-08;2e-09
4190;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.2691;333.15;101.3;-1.76e-08;2e-09
4191;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3361;333.15;101.3;-2.86e-08;2e-09
4192;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.3944;333.15;101.3;-4.15e-08;2e-09
4193;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.4533;333.15;101.3;-5.29e-08;2e-09
4194;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5269;333.15;101.3;-6.69e-08;2e-09
4195;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.5889;333.15;101.3;-7.52e-08;2e-09
4196;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.6614;333.15;101.3;-8.26e-08;2e-09
4197;j.jct.2004.07.010;ethylbenzene;cyclohexanone;CCc1ccccc1;O=C1CCCCC1;70955-17-8;11119-77-0;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;ethylbenzene__cyclohexanone;0.7213;333.15;101.3;-8.3e-08;2e-09
