;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar heat capacity, J/K/mol;Excess molar heat capacity, J/K/mol_std
106159;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;293.15;101.0;0.129;0.00129
106160;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;298.15;101.0;0.011;0.00011
106161;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;303.15;101.0;-0.081;-0.00081
106162;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;308.15;101.0;-0.204;-0.00204
106163;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;313.15;101.0;-0.267;-0.00267
106164;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;318.15;101.0;-0.397;-0.00397
106165;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;323.15;101.0;-0.432;-0.00432
106166;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;328.15;101.0;-0.591;-0.00591
106167;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;333.15;101.0;-0.871;-0.00871
106168;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;338.15;101.0;-1.02;-0.0102
